DATE,GDP
1/1/1960,1217230095
1/1/1961,1302674325
1/1/1962,1382515654
1/1/1963,1540797589
1/1/1964,1731296200
1/1/1965,2053462968
1/1/1966,2126300672
1/1/1967,1747187645
1/1/1968,1666909518
1/1/1969,1962050556
1/1/1970,2215028588
1/1/1971,2417108578
1/1/1972,2112293280
1/1/1973,3006766758
1/1/1974,2894409938
1/1/1975,2810106383
1/1/1976,2765254237
1/1/1977,3189428571
1/1/1978,3662478185
1/1/1979,4020227920
1/1/1980,4445228216
1/1/1981,4222441615
1/1/1982,4035994398
1/1/1983,4057275043
1/1/1984,4412279843
1/1/1985,4504342149
1/1/1986,5735921420
1/1/1987,5074829932
1/1/1988,5197840973
1/1/1989,5251764270
1/1/1990,5889174834
1/1/1991,6603130040
1/1/1992,6416079342
1/1/1993,5968905679
1/1/1994,5446370115
1/1/1995,6464389656
1/1/1996,6932984636
1/1/1997,6891433841
1/1/1998,7482072380
1/1/1999,7718110781
1/1/2000,4982849054
1/1/2001,5314871684
1/1/2002,6166197192
1/1/2003,7632720680
1/1/2004,8881419348
1/1/2005,10744562615
1/1/2006,20885042153
1/1/2007,24827333947
1/1/2008,28679383241
1/1/2009,26048726186
1/1/2010,32197648061
1/1/2011,39336668081
1/1/2012,41271708600
1/1/2013,62824629066
1/1/2014,54783320577
1/1/2015,49406014245
1/1/2016,56164933479
1/1/2017,60405920071
1/1/2018,67298913752
1/1/2019,68337974419
1/1/2020,70043095503
1/1/2021,79156409410
1/1/2022,72838798788
