DATE	GDP	Inflation	Debt
1/1/1960	1217230095	NA	NA
1/1/1961	1302674325	NA	NA
1/1/1962	1382515654	NA	NA
1/1/1963	1540797589	NA	NA
1/1/1964	1731296200	NA	NA
1/1/1965	2053462968	26.44478485	NA
1/1/1966	2126300672	13.23788546	NA
1/1/1967	1747187645	-8.422485898	NA
1/1/1968	1666909518	7.894736842	NA
1/1/1969	1962050556	7.317073163	NA
1/1/1970	2215028588	3.030303031	572138164.6
1/1/1971	2417108578	9.558823537	542386913.4
1/1/1972	2112293280	10.06711409	601807880.4
1/1/1973	3006766758	17.68292682	756428483.1
1/1/1974	2894409938	18.13471503	730055396.5
1/1/1975	2810106383	29.8245614	720589134.4
1/1/1976	2765254237	56.08108108	710690900.3
1/1/1977	3189428571	116.4502165	1066624519
1/1/1978	3662478185	73.09166667	1278646090
1/1/1979	4020227920	54.44128833	1281964511
1/1/1980	4445228216	50.07013934	1398364946
1/1/1981	4222441615	116.503604	1538834502
1/1/1982	4035994398	22.29556641	1484226950
1/1/1983	4057275043	122.8745146	1666180356
1/1/1984	4412279843	39.66531379	1963074303
1/1/1985	4504342149	10.30544067	2256468114
1/1/1986	5735921420	24.56541608	2766891477
1/1/1987	5074829932	39.81506788	3313222736
1/1/1988	5197840973	31.35926763	3131102816
1/1/1989	5251764270	25.22369203	3402456463
1/1/1990	5889174834	37.25906649	3880932791
1/1/1991	6603130040	18.03143901	4380166481
1/1/1992	6416079342	10.05611674	4508061699
1/1/1993	5968905679	24.95984247	4886542112
1/1/1994	5446370115	24.87025544	5469152460
1/1/1995	6464389656	59.4615537	5935777124
1/1/1996	6932984636	46.56101968	6442990349
1/1/1997	6891433841	27.88520864	6347327633
1/1/1998	7482072380	14.62416667	6969089358
1/1/1999	7718110781	4.865397851	7103705179
1/1/2000	4982849054	40.24093312	6743341663
1/1/2001	5314871684	41.50949629	6860995877
1/1/2002	6166197192	9.360932396	7640294825
1/1/2003	7632720680	29.77297972	8301000838
1/1/2004	8881419348	18.04273882	7239727089
1/1/2005	10744562615	15.43899202	7334787205
1/1/2006	20885042153	11.67918394	3699920203
1/1/2007	24827333947	10.73426655	4298139557
1/1/2008	28679383241	16.49463961	4718475856
1/1/2009	26048726186	19.24694822	6610060990
1/1/2010	32197648061	10.73338984	8365239757
1/1/2011	39336668081	8.728459371	10411713580
1/1/2012	41271708600	11.18634094	11992642180
1/1/2013	62824629066	11.66619231	16115216917
1/1/2014	54783320577	15.48961603	17838883641
1/1/2015	49406014245	17.1499695	20079743604
1/1/2016	56164933479	17.45463471	21323164659
1/1/2017	60405920071	12.37192155	22519494698
1/1/2018	67298913752	7.808765166	23575181469
1/1/2019	68337974419	7.143640033	27081567334
1/1/2020	70043095503	9.887289563	31871093085
1/1/2021	79156409410	9.971088675	36181556008
1/1/2022	72838798788	31.2558951	
